geoName,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
Acre,86,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Alagoas,86,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amapá,82,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amazonas,82,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Bahia,82,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Ceará,74,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Distrito Federal,80,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Espírito Santo,76,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Goiás,80,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Maranhão,76,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso,84,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso do Sul,78,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Minas Gerais,76,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraná,76,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraíba,76,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pará,90,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pernambuco,74,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Piauí,76,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Norte,76,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Sul,62,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio de Janeiro,72,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rondônia,78,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Roraima,100,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Santa Catarina,74,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Sergipe,70,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
São Paulo,72,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Tocantins,70,GELADEIRA,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Acre,40,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Alagoas,38,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amapá,34,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amazonas,38,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Bahia,42,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Ceará,38,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Distrito Federal,44,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Espírito Santo,44,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Goiás,46,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Maranhão,34,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso,38,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso do Sul,50,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Minas Gerais,50,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraná,52,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraíba,44,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pará,36,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pernambuco,44,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Piauí,26,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Norte,38,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Sul,52,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio de Janeiro,48,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rondônia,48,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Roraima,20,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Santa Catarina,48,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Sergipe,42,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
São Paulo,46,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Tocantins,40,FOGÃO,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Acre,28,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Alagoas,16,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amapá,36,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amazonas,30,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Bahia,12,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Ceará,24,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Distrito Federal,10,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Espírito Santo,18,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Goiás,12,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Maranhão,24,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso,22,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso do Sul,12,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Minas Gerais,8,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraná,6,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraíba,16,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pará,28,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pernambuco,18,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Piauí,30,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Norte,20,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Sul,8,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio de Janeiro,16,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rondônia,28,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Roraima,22,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Santa Catarina,4,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Sergipe,16,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
São Paulo,8,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Tocantins,26,VENTILADOR,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Acre,28,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Alagoas,34,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amapá,16,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amazonas,22,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Bahia,32,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Ceará,34,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Distrito Federal,46,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Espírito Santo,38,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Goiás,44,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Maranhão,36,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso,36,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso do Sul,34,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Minas Gerais,40,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraná,40,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraíba,38,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pará,26,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pernambuco,34,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Piauí,28,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Norte,40,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Sul,48,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio de Janeiro,38,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rondônia,28,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Roraima,28,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Santa Catarina,44,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Sergipe,44,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
São Paulo,50,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Tocantins,38,BRASTEMP,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Acre,18,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Alagoas,26,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amapá,32,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Amazonas,28,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Bahia,32,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Ceará,30,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Distrito Federal,20,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Espírito Santo,24,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Goiás,18,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Maranhão,30,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso,20,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Mato Grosso do Sul,26,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Minas Gerais,26,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraná,26,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Paraíba,26,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pará,20,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Pernambuco,30,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Piauí,40,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Norte,26,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio Grande do Sul,30,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rio de Janeiro,26,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Rondônia,18,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Roraima,30,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Santa Catarina,30,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Sergipe,28,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
São Paulo,24,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Tocantins,26,CONSUL,19/08/2018 14:28,GELADEIRA,4º Comparação,today 1-m
Acre,55,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Alagoas,73,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Amapá,42,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Amazonas,42,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Bahia,89,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Ceará,68,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Distrito Federal,65,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Espírito Santo,81,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Goiás,84,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Maranhão,63,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Mato Grosso,73,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Mato Grosso do Sul,78,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Minas Gerais,84,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Paraná,76,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Paraíba,63,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Pará,71,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Pernambuco,76,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Piauí,73,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Rio Grande do Norte,73,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Rio Grande do Sul,65,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Rio de Janeiro,81,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Rondônia,55,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Roraima,55,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Santa Catarina,76,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Sergipe,73,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
São Paulo,76,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Tocantins,73,GELADEIRA,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Acre,52,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Alagoas,52,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Amapá,76,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Amazonas,57,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Bahia,52,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Ceará,55,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Distrito Federal,44,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Espírito Santo,47,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Goiás,52,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Maranhão,60,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Mato Grosso,55,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Mato Grosso do Sul,57,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Minas Gerais,55,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Paraná,52,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Paraíba,60,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Pará,52,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Pernambuco,57,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Piauí,60,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Rio Grande do Norte,55,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Rio Grande do Sul,52,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Rio de Janeiro,47,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Rondônia,68,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Roraima,76,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Santa Catarina,55,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
Sergipe,60,COMPUTADOR,19/08/2018 14:31,GELADEIRA,5º Comparação,today 1-m
